coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 7, 6, 3, 7]",[1],-1209056,S_4,1/4,False
"[1, 7, 6, 3, 8]",[1],-1598575,S_4,1/25,False
"[1, 7, 6, 4, -8]",[1],-2681856,S_4,1/256,False
"[1, 7, 6, 4, -7]",[1],-2096411,S_4,1,True
"[1, 7, 6, 4, -6]",[1],-1586668,S_4,1,True
"[1, 7, 6, 4, -5]",[1],-1151091,S_4,1/81,False
"[1, 7, 6, 4, -4]",[1],-788144,S_4,1/4,False
"[1, 7, 6, 4, -3]",[1],-496291,S_4,1,True
"[1, 7, 6, 4, -2]",[1],-273996,S_4,1,True
"[1, 7, 6, 4, -1]",[2],-119723,S_4,1,True
"[1, 7, 6, 4, 1]",[2],-9099,S_4,1,True
"[1, 7, 6, 4, 2]",[1],-49676,S_4,1,True
"[1, 7, 6, 4, 3]",[2],-152131,S_4,1,True
"[1, 7, 6, 4, 5]",[2],-536531,S_4,1,True
"[1, 7, 6, 4, 6]",[1],-815404,S_4,1,True
"[1, 7, 6, 4, 7]",[1],-1150011,S_4,1,True
"[1, 7, 6, 4, 8]",[1],-1538816,S_4,1/64,False
"[1, 7, 6, 5, -8]",[1],-2983423,S_4,1,True
"[1, 7, 6, 5, -7]",[1],-2355804,S_4,1/4,False
"[1, 7, 6, 5, -6]",[1],-1806575,S_4,1/25,False
"[1, 7, 6, 5, -5]",[2],-1334200,S_4,1,True
"[1, 7, 6, 5, -4]",[1],-937143,S_4,1,True
"[1, 7, 6, 5, -3]",[1],-613868,S_4,1/4,False
"[1, 7, 6, 5, -2]",[1],-362839,S_4,1,True
"[1, 7, 6, 5, 1]",[2],-27868,S_4,1/4,False
"[1, 7, 6, 5, 2]","[1, 0]",-50463,S_4,1,True
"[1, 7, 6, 5, 3]",[1],-137624,S_4,1,True
"[1, 7, 6, 5, 4]",[2],-287815,S_4,1,True
"[1, 7, 6, 5, 6]",[2],-771143,S_4,1,True
"[1, 7, 6, 5, 7]",[1],-1101208,S_4,1,True
"[1, 7, 6, 5, 8]",[1],-1488159,S_4,1/9,False
"[1, 7, 6, 6, -8]",[1],-3318944,S_4,1/4,False
"[1, 7, 6, 6, -7]",[1],-2648011,S_4,1,True
"[1, 7, 6, 6, -6]",[1],-2058156,S_4,1,True
"[1, 7, 6, 6, -5]",[1],-1547843,S_4,1,True
"[1, 7, 6, 6, -4]","[0, 1]",-1115536,S_4,1/4,False
"[1, 7, 6, 6, -3]","[0, 1]",-759699,S_4,1,True
"[1, 7, 6, 6, -2]",[1],-478796,S_4,1,True
"[1, 7, 6, 6, -1]",[3],-271291,S_4,1,True
"[1, 7, 6, 6, 1]","[1, 2, 0]",-70331,S_4,1,True
"[1, 7, 6, 6, 2]",[1],-73804,S_4,1,True
"[1, 7, 6, 6, 3]","[0, 1]",-144531,S_4,1,True
"[1, 7, 6, 6, 4]",[1],-280976,S_4,1/4,False
"[1, 7, 6, 6, 5]",[2],-481603,S_4,1,True
"[1, 7, 6, 6, 7]",[2],-1069259,S_4,1,True
"[1, 7, 6, 6, 8]",[1],-1453216,S_4,1/4,False
"[1, 7, 6, 7, -8]",[2],-3695679,S_4,1,True
"[1, 7, 6, 7, -7]",[1],-2980292,S_4,1,True
"[1, 7, 6, 7, -6]",[2],-2348671,S_4,1,True
"[1, 7, 6, 7, -5]",[1],-1799280,D_4,1/16,False
"[1, 7, 6, 7, -4]",[2],-1330583,S_4,1,True
"[1, 7, 6, 7, -3]",[1],-941044,S_4,1,True
"[1, 7, 6, 7, -2]","[1, 1]",-629127,S_4,1/9,False
"[1, 7, 6, 7, -1]",[2],-393296,S_4,1/4,False
"[1, 7, 6, 7, 1]",[2],-143748,D_4,1,True
"[1, 7, 6, 7, 2]",[1],-126959,S_4,1,True
"[1, 7, 6, 7, 3]",[1],-180112,S_4,1/4,False
"[1, 7, 6, 7, 4]",[1],-301671,S_4,1,True
"[1, 7, 6, 7, 6]",[2],-743863,S_4,1,True
"[1, 7, 6, 7, 8]",[2],-1441247,S_4,1,True
"[1, 7, 6, 8, -8]",[1],-4121536,S_4,1/64,False
"[1, 7, 6, 8, -7]",[1],-3360555,S_4,1,True
"[1, 7, 6, 8, -6]","[0, 1]",-2686028,S_4,1,True
"[1, 7, 6, 8, -5]",[1],-2096419,S_4,1,True
"[1, 7, 6, 8, -4]",[1],-1590192,S_4,1/36,False
"[1, 7, 6, 8, -3]",[1],-1165811,S_4,1,True
"[1, 7, 6, 8, -2]",[1],-821740,S_4,1,True
"[1, 7, 6, 8, -1]",[2],-556443,S_4,1,True
"[1, 7, 6, 8, 1]","[2, 2, 0]",-256027,S_4,1,True
"[1, 7, 6, 8, 2]",[1],-217836,S_4,1,True
"[1, 7, 6, 8, 3]",[1],-252275,S_4,1/25,False
"[1, 7, 6, 8, 4]",[1],-357808,S_4,1/4,False
"[1, 7, 6, 8, 5]",[1],-532899,S_4,1/729,False
"[1, 7, 6, 8, 6]",[1],-776012,S_4,1,True
"[1, 7, 6, 8, 7]","[0, 2]",-1085611,S_4,1,True
"[1, 7, 7, -8, -8]",[3],248672,S_4,1/4,False
"[1, 7, 7, -8, -6]",[2],412508,S_4,1,True
"[1, 7, 7, -8, -5]","[3, 3]",446969,S_4,1,True
"[1, 7, 7, -8, -3]","[0, 0, 2, 1]",428657,S_4,1,True
"[1, 7, 7, -8, -2]","[0, 1]",378956,S_4,1,True
"[1, 7, 7, -8, -1]","[0, 0, 2]",304273,S_4,1,True
"[1, 7, 7, -8, 1]","[2, 1]",86105,S_4,1,True
"[1, 7, 7, -8, 2]",[1],-54308,S_4,1,True
"[1, 7, 7, -8, 3]",[1],-213559,S_4,1,True
"[1, 7, 7, -8, 4]",[1],-390112,S_4,1/4,False
"[1, 7, 7, -8, 5]",[1],-582431,S_4,1,True
"[1, 7, 7, -8, 6]",[1],-788980,S_4,1,True
"[1, 7, 7, -8, 7]",[1],-1008223,S_4,1,True
"[1, 7, 7, -8, 8]",[1],-1238624,S_4,1/4,False
"[1, 7, 7, -7, -7]","[3, 4]",193109,S_4,1,True
"[1, 7, 7, -7, -6]","[0, 1]",281236,S_4,1,True
"[1, 7, 7, -7, -5]","[1, 0]",335549,S_4,1,True
"[1, 7, 7, -7, -4]",[1],357584,S_4,1/4,False
"[1, 7, 7, -7, -3]",[2],348877,S_4,1,True
"[1, 7, 7, -7, -1]",[3],245381,S_4,1,True
"[1, 7, 7, -7, 1]","[2, 4]",37349,D_4,1,True
"[1, 7, 7, -7, 2]",[1],-102028,S_4,1,True
